"CPC V10","CPCpartial","ISIC Rev3","ISICpartial","Comment"
"01110",0,"0111",1,
"01120",0,"0111",1,
"01130",0,"0111",1,
"01140",0,"1531",1,
"01150",0,"0111",1,
"01160",0,"0111",1,
"01190",0,"0111",1,
"01210",0,"0111",1,
"01220",0,"0111",1,
"01231",0,"0112",1,
"01239",0,"0112",1,
"01240",0,"0111",1,
"01310",0,"0113",1,
"01320",0,"0113",1,
"01330",0,"0113",1,
"01341",0,"0112",1,
"01349",0,"0113",1,
"01350",0,"1513",1,
"01360",0,"0113",1,
"01410",0,"0111",1,
"01420",0,"0111",1,
"01430",0,"0111",1,
"01440",0,"0111",1,
"01490",0,"0111",1,
"01510",0,"0112",1,
"01520",0,"0112",1,
"01530",0,"0112",1,
"01540",0,"0112",1,
"01611",0,"0113",1,
"01612",0,"0113",1,
"01613",0,"0113",1,
"01614",0,"0113",1,
"01620",0,"0113",1,
"01710",0,"0111",1,
"01790",0,"0111",1,
"01810",0,"0111",1,
"01820",0,"0111",1,
"01910",0,"0111",1,
"01921",0,"0111",1,
"01922",0,"0111",1,
"01923",0,"0111",1,
"01930",0,"0111",1,
"01940",0,"0111",1,
"01990",0,"0111",1,
"02111",0,"0121",1,
"02112",0,"0121",1,
"02113",0,"0121",1,
"02121",0,"0122",1,
"02122",0,"0122",1,
"02129",0,"0122",1,
"02910",0,"0121",1,
"02920",0,"0122",1,
"02930",0,"0122",1,
"02940",0,"0122",1,
"02950",0,"0122",1,
"02961",0,"0121",1,
"02962",0,"1511",1,
"02963",0,"0122",1,
"02964",0,"0122",1,
"02971",0,"1511",1,
"02972",0,"0122",1,
"02973",0,"0122",1,
"02974",0,"0122",1,
"02980",0,"0122",1,
"02990",0,"0121",1,
"03110",0,"0200",1,
"03120",0,"0200",1,
"03130",0,"0200",1,
"03190",0,"0200",1,
"03210",0,"0111",1,
"03220",0,"0200",1,
"03230",0,"0200",1,
"03910",0,"0200",1,
"03920",0,"0200",1,
"03930",0,"0200",1,
"04110",0,"0500",1,
"04120",0,"0500",1,
"04210",0,"0500",1,
"04220",0,"0500",1,
"04230",0,"0500",1,
"04910",0,"0500",1,
"04920",0,"0500",1,
"04930",0,"0500",1,
"11010",0,"1010",1,
"11020",0,"1010",1,
"11030",0,"1020",1,
"11040",0,"1030",1,
"12010",0,"1110",1,
"12020",0,"1110",1,
"12030",0,"1110",1,
"13000",0,"1200",1,
"14100",0,"1310",1,
"14210",0,"1320",1,
"14220",0,"1320",1,
"14230",0,"1320",1,
"14240",0,"1320",1,
"14290",0,"1320",1,
"15110",0,"1410",1,
"15120",0,"1410",1,
"15130",0,"1410",1,
"15200",0,"1410",1,
"15310",0,"1410",1,
"15320",0,"1410",1,
"15330",0,"1429",1,
"15400",0,"1410",1,
"16110",0,"1421",1,
"16120",0,"1421",1,
"16190",0,"1421",1,
"16200",0,"1422",1,
"16310",0,"1429",1,
"16320",0,"1429",1,
"16330",0,"1410",1,
"16390",0,"1429",1,
"17100",0,"4010",1,
"17200",0,"4020",1,
"17300",0,"4030",1,
"18000",0,"4100",1,
"21111",0,"1511",1,
"21112",0,"1511",1,
"21113",0,"1511",1,
"21114",0,"1511",1,
"21115",0,"1511",1,
"21116",0,"1511",1,
"21117",0,"1511",1,
"21118",0,"1511",1,
"21119",0,"1511",1,
"21121",0,"1511",1,
"21122",0,"1511",1,
"21129",0,"1511",1,
"21131",0,"1511",1,
"21132",0,"1511",1,
"21140",0,"1511",1,
"21210",0,"1512",1,
"21220",0,"1512",1,
"21230",0,"1512",1,
"21240",0,"1512",1,
"21250",0,"1512",1,
"21260",0,"1512",1,
"21291",0,"1512",1,
"21299",0,"1512",1,
"21310",0,"1513",1,
"21320",0,"1513",1,
"21390",0,"1513",1,
"21400",0,"1513",1,
"21510",0,"1513",1,
"21520",0,"1513",1,
"21530",0,"1513",1,
"21540",0,"1513",1,
"21550",0,"1513",1,
"21560",0,"1513",1,
"21611",0,"1511",1,
"21612",0,"1711",1,
"21620",0,"1514",1,
"21630",0,"1514",1,
"21640",0,"1514",1,
"21650",0,"1514",1,
"21660",0,"1532",1,
"21670",0,"1514",1,
"21680",0,"1514",1,
"21690",0,"1514",1,
"21700",0,"1514",1,
"21810",0,"1514",1,
"21820",0,"1514",1,
"21830",0,"1514",1,
"22110",0,"1520",1,
"22120",0,"1520",1,
"22910",0,"1520",1,
"22920",0,"1520",1,
"22930",0,"1520",1,
"22940",0,"1520",1,
"22950",0,"1520",1,
"22960",0,"1520",1,
"22970",0,"1520",1,
"22980",0,"1520",1,
"22990",0,"1520",1,
"23110",0,"1531",1,
"23120",0,"1531",1,
"23130",0,"1531",1,
"23140",0,"1531",1,
"23150",0,"1531",1,
"23160",0,"1531",1,
"23170",0,"1531",1,
"23180",0,"1531",1,
"23210",0,"1532",1,
"23220",0,"1532",1,
"23230",0,"1532",1,
"23310",0,"1533",1,
"23320",0,"1533",1,
"23410",0,"1541",1,
"23420",0,"1541",1,
"23430",0,"1541",1,
"23510",0,"1542",1,
"23520",0,"1542",1,
"23530",0,"1542",1,
"23540",0,"1542",1,
"23610",0,"1543",1,
"23620",0,"1543",1,
"23630",0,"1543",1,
"23640",0,"1543",1,
"23650",0,"1543",1,
"23660",0,"1543",1,
"23670",0,"1543",1,
"23710",0,"1544",1,
"23720",0,"1544",1,
"23911",0,"1549",1,
"23912",1,"0140",1,
"23912",1,"1549",1,
"23913",0,"1549",1,
"23914",0,"1549",1,
"23991",0,"1549",1,
"23992",0,"1549",1,
"23993",0,"1549",1,
"23994",0,"1549",1,
"23995",0,"1549",1,
"23996",0,"1549",1,
"23999",0,"1549",1,
"24110",0,"1551",1,
